data,valor,indicador,data_coleta
01/03/2024,0.16,IPCA,2025-12-08
01/04/2024,0.38,IPCA,2025-12-08
01/05/2024,0.46,IPCA,2025-12-08
01/06/2024,0.21,IPCA,2025-12-08
01/07/2024,0.38,IPCA,2025-12-08
01/08/2024,-0.02,IPCA,2025-12-08
01/09/2024,0.44,IPCA,2025-12-08
01/10/2024,0.56,IPCA,2025-12-08
01/11/2024,0.39,IPCA,2025-12-08
01/12/2024,0.52,IPCA,2025-12-08
01/01/2025,0.16,IPCA,2025-12-08
01/02/2025,1.31,IPCA,2025-12-08
01/03/2025,0.56,IPCA,2025-12-08
01/04/2025,0.43,IPCA,2025-12-08
01/05/2025,0.26,IPCA,2025-12-08
01/06/2025,0.24,IPCA,2025-12-08
01/07/2025,0.26,IPCA,2025-12-08
01/08/2025,-0.11,IPCA,2025-12-08
01/09/2025,0.48,IPCA,2025-12-08
01/10/2025,0.09,IPCA,2025-12-08
21/11/2025,15.0,SELIC,2025-12-08
22/11/2025,15.0,SELIC,2025-12-08
23/11/2025,15.0,SELIC,2025-12-08
24/11/2025,15.0,SELIC,2025-12-08
25/11/2025,15.0,SELIC,2025-12-08
26/11/2025,15.0,SELIC,2025-12-08
27/11/2025,15.0,SELIC,2025-12-08
28/11/2025,15.0,SELIC,2025-12-08
29/11/2025,15.0,SELIC,2025-12-08
30/11/2025,15.0,SELIC,2025-12-08
01/12/2025,15.0,SELIC,2025-12-08
02/12/2025,15.0,SELIC,2025-12-08
03/12/2025,15.0,SELIC,2025-12-08
04/12/2025,15.0,SELIC,2025-12-08
05/12/2025,15.0,SELIC,2025-12-08
06/12/2025,15.0,SELIC,2025-12-08
07/12/2025,15.0,SELIC,2025-12-08
08/12/2025,15.0,SELIC,2025-12-08
09/12/2025,15.0,SELIC,2025-12-08
10/12/2025,15.0,SELIC,2025-12-08
01/03/2024,965417.8,PIB,2025-12-08
01/04/2024,989530.3,PIB,2025-12-08
01/05/2024,961916.2,PIB,2025-12-08
01/06/2024,969783.0,PIB,2025-12-08
01/07/2024,1008057.5,PIB,2025-12-08
01/08/2024,993815.6,PIB,2025-12-08
01/09/2024,988040.3,PIB,2025-12-08
01/10/2024,1048130.2,PIB,2025-12-08
01/11/2024,1026231.2,PIB,2025-12-08
01/12/2024,1006006.2,PIB,2025-12-08
01/01/2025,960910.2,PIB,2025-12-08
01/02/2025,992707.0,PIB,2025-12-08
01/03/2025,1065961.6,PIB,2025-12-08
01/04/2025,1078940.2,PIB,2025-12-08
01/05/2025,1054943.6,PIB,2025-12-08
01/06/2025,1042861.2,PIB,2025-12-08
01/07/2025,1085704.1,PIB,2025-12-08
01/08/2025,1059421.6,PIB,2025-12-08
01/09/2025,1063937.4,PIB,2025-12-08
01/10/2025,1095958.6,PIB,2025-12-08
07/11/2025,5.3567,DÓLAR,2025-12-08
10/11/2025,5.3181,DÓLAR,2025-12-08
11/11/2025,5.2729,DÓLAR,2025-12-08
12/11/2025,5.2885,DÓLAR,2025-12-08
13/11/2025,5.282,DÓLAR,2025-12-08
14/11/2025,5.2952,DÓLAR,2025-12-08
17/11/2025,5.3108,DÓLAR,2025-12-08
18/11/2025,5.3361,DÓLAR,2025-12-08
19/11/2025,5.3346,DÓLAR,2025-12-08
21/11/2025,5.3902,DÓLAR,2025-12-08
24/11/2025,5.3948,DÓLAR,2025-12-08
25/11/2025,5.3841,DÓLAR,2025-12-08
26/11/2025,5.3694,DÓLAR,2025-12-08
27/11/2025,5.349,DÓLAR,2025-12-08
28/11/2025,5.3338,DÓLAR,2025-12-08
01/12/2025,5.3469,DÓLAR,2025-12-08
02/12/2025,5.3465,DÓLAR,2025-12-08
03/12/2025,5.3114,DÓLAR,2025-12-08
04/12/2025,5.2952,DÓLAR,2025-12-08
05/12/2025,5.3405,DÓLAR,2025-12-08
01/02/2024,30.7,COMMODITIES,2025-12-08
01/03/2024,23.6,COMMODITIES,2025-12-08
01/04/2024,47.4,COMMODITIES,2025-12-08
01/05/2024,33.3,COMMODITIES,2025-12-08
01/06/2024,39.5,COMMODITIES,2025-12-08
01/07/2024,31.6,COMMODITIES,2025-12-08
01/08/2024,35.9,COMMODITIES,2025-12-08
01/09/2024,33.2,COMMODITIES,2025-12-08
01/10/2024,40.5,COMMODITIES,2025-12-08
01/11/2024,34.2,COMMODITIES,2025-12-08
01/12/2024,61.0,COMMODITIES,2025-12-08
01/01/2025,26.8,COMMODITIES,2025-12-08
01/02/2025,25.0,COMMODITIES,2025-12-08
01/03/2025,33.3,COMMODITIES,2025-12-08
01/04/2025,49.0,COMMODITIES,2025-12-08
01/05/2025,30.6,COMMODITIES,2025-12-08
01/06/2025,64.6,COMMODITIES,2025-12-08
01/07/2025,48.7,COMMODITIES,2025-12-08
01/08/2025,35.2,COMMODITIES,2025-12-08
01/09/2025,54.7,COMMODITIES,2025-12-08
01/04/2024,0.31,IGP-M,2025-12-08
01/05/2024,0.89,IGP-M,2025-12-08
01/06/2024,0.81,IGP-M,2025-12-08
01/07/2024,0.61,IGP-M,2025-12-08
01/08/2024,0.29,IGP-M,2025-12-08
01/09/2024,0.62,IGP-M,2025-12-08
01/10/2024,1.52,IGP-M,2025-12-08
01/11/2024,1.3,IGP-M,2025-12-08
01/12/2024,0.94,IGP-M,2025-12-08
01/01/2025,0.27,IGP-M,2025-12-08
01/02/2025,1.06,IGP-M,2025-12-08
01/03/2025,-0.34,IGP-M,2025-12-08
01/04/2025,0.24,IGP-M,2025-12-08
01/05/2025,-0.49,IGP-M,2025-12-08
01/06/2025,-1.67,IGP-M,2025-12-08
01/07/2025,-0.77,IGP-M,2025-12-08
01/08/2025,0.36,IGP-M,2025-12-08
01/09/2025,0.42,IGP-M,2025-12-08
01/10/2025,-0.36,IGP-M,2025-12-08
01/11/2025,0.27,IGP-M,2025-12-08
